RSI_저점,RSI_고점,과매도_목표,과열_목표,학습_CAGR,학습_MDD,검증_CAGR,검증_MDD,전체_CAGR,전체_MDD,안정점수
25,65,0.035,0.025,35.7564753668897,-40.408280715293884,39.28368597849661,-39.8280027789547,37.15753829889047,-40.408280715293884,20.37905340247443
25,65,0.032,0.025,35.75657929629878,-40.40932576903493,39.28368597849661,-39.8280027789547,37.15736460365838,-40.40932576903493,20.37882793836732
25,65,0.04,0.025,35.75341668508736,-40.40630949895496,39.28368597849661,-39.8280027789547,37.153715299858305,-40.40630949895496,20.375614107759887
25,70,0.032,0.023,35.777768266449044,-40.402793527338766,39.39746189804845,-39.864433144967215,37.229343746390384,-40.402793527338766,20.369897760820688
25,70,0.035,0.023,35.77764041769302,-40.403248645987524,39.39746189804845,-39.864433144967215,37.229315286979556,-40.403248645987524,20.369565873472986
25,70,0.04,0.023,35.77508774687942,-40.40292661902638,39.39746189804845,-39.864433144967215,37.22919650764388,-40.40292661902638,20.36623247731103
35,70,0.035,0.025,35.839092227519615,-40.24993449739605,39.80601319236854,-39.889452608438944,37.41971434976611,-40.24993449739605,20.363192815733875
30,70,0.04,0.025,35.82795777625708,-40.370263513954484,39.71523756452581,-39.85480142822544,37.359828186020025,-40.370263513954484,20.33781762047896
35,75,0.04,0.025,35.88596261229148,-39.91523270363333,40.445305060119665,-39.89236312306572,37.670401021301586,-39.973852529635266,20.31986130927995
35,70,0.032,0.025,35.755006992738544,-40.26624475004397,39.65467902847385,-39.8710547324366,37.291908134835694,-40.26624475004397,20.2969361177158
35,75,0.04,0.027,35.887982021713526,-39.916913409406455,40.7321618046968,-39.89236312306572,37.75799906875869,-39.97567456901374,20.22159940437712
35,65,0.04,0.027,35.887982021713526,-39.916913409406455,40.7321618046968,-39.89236312306572,37.75799906875869,-39.97567456901374,20.22159940437712
35,70,0.04,0.027,35.887982021713526,-39.916913409406455,40.7321618046968,-39.89236312306572,37.75799906875869,-39.97567456901374,20.22159940437712
30,70,0.035,0.025,35.732579125990696,-40.38319271499885,39.71523756452581,-39.85480142822544,37.30043628924065,-40.38319271499885,20.20453122225381
35,75,0.04,0.023,35.74351827161334,-39.91970016948443,40.43684898045839,-39.909022354128524,37.58032595406124,-39.976786678846956,20.12895746419802
25,65,0.045,0.025,35.56854967400946,-40.40961780523226,39.28368597849661,-39.8280027789547,37.03541016801148,-40.40961780523226,20.124885735607673
25,70,0.045,0.023,35.58895725266683,-40.40021830059698,39.39746189804845,-39.864433144967215,37.10991690685938,-40.40021830059698,20.11590422157432
30,70,0.045,0.025,35.650159275766896,-40.35329749453966,39.71409215892544,-39.85607514849411,37.24428266018555,-40.35329749453966,20.104128643572526
35,75,0.04,0.02,35.60448674588034,-39.915124350663255,40.06781847270224,-39.89713632980941,37.35853966486579,-39.97715551265715,20.07202711876053
35,75,0.035,0.025,35.72139951576975,-40.24855570711983,40.23303894349675,-39.90129993502089,37.485686633771735,-40.24855570711983,20.055331218573357
30,75,0.04,0.025,35.71480429462082,-40.367275647139834,40.16180810197426,-39.82703820770247,37.42854701446046,-40.367275647139834,20.029806485548175
35,75,0.032,0.025,35.64338717053431,-40.263193085941104,40.02017384262399,-39.91207520393554,37.3610847232878,-40.263193085941104,20.01939425522354
30,70,0.032,0.025,35.51803237754865,-40.385621447946605,39.44589400504208,-39.907856786932086,37.08465935614663,-40.385621447946605,20.008313301144643
35,75,0.035,0.027,35.72467248559451,-40.249919229200806,40.46340992307856,-39.902580690207614,37.573404252676426,-40.249919229200806,19.978642652254813
35,65,0.035,0.027,35.72467248559451,-40.249919229200806,40.46340992307856,-39.902580690207614,37.573404252676426,-40.249919229200806,19.978642652254813
35,70,0.035,0.027,35.72467248559451,-40.249919229200806,40.46340992307856,-39.902580690207614,37.573404252676426,-40.249919229200806,19.978642652254813
30,65,0.04,0.027,35.7194980863176,-40.36893878330705,40.38700771814061,-39.82703820770247,37.51638966194889,-40.36893878330705,19.956741141022082
30,70,0.04,0.027,35.7194980863176,-40.36893878330705,40.38700771814061,-39.82703820770247,37.51638966194889,-40.36893878330705,19.956741141022082
30,75,0.04,0.027,35.7194980863176,-40.36893878330705,40.38700771814061,-39.82703820770247,37.51638966194889,-40.36893878330705,19.956741141022082
35,70,0.032,0.027,35.64529145841772,-40.26139218300017,40.270151928455135,-39.913570183503744,37.449505427956325,-40.26139218300017,19.93510302985456
35,65,0.032,0.027,35.64529145841772,-40.26139218300017,40.270151928455135,-39.913570183503744,37.449505427956325,-40.26139218300017,19.93510302985456
35,75,0.032,0.027,35.64529145841772,-40.26139218300017,40.270151928455135,-39.913570183503744,37.449505427956325,-40.26139218300017,19.93510302985456
25,70,0.035,0.025,35.445651541035204,-40.40347354916414,39.40710176009787,-39.883703746201626,37.006925057551086,-40.40347354916414,19.91792822215582
25,70,0.032,0.025,35.44553284001947,-40.40352324375055,39.40710176009787,-39.883703746201626,37.00772509705871,-40.40352324375055,19.917750582679336
