name,mode,ladder,fee,buy_range,train_cagr,train_mdd,valid_cagr,valid_mdd,full_cagr,full_mdd,score
공격형,never,3,0.001,0.1,38.66139372478188,-42.649703763258074,45.33537025991385,-46.077983756681284,41.151169446806875,-46.06451031636094,20.198207622647246
공격형,never,3,0.001,0.05,38.66139372478188,-42.649703763258074,45.33537025991385,-46.077983756681284,41.151169446806875,-46.06451031636094,20.198207622647246
공격형,never,3,0.001,0.15,38.66139372478188,-42.649703763258074,45.33537025991385,-46.077983756681284,41.151169446806875,-46.06451031636094,20.198207622647246
안정형,never,0,0.0005,0.1,34.15853640508229,-36.430824922972796,37.99271719264783,-35.94912499716152,35.69374399434011,-36.430824922972796,20.065784406393867
안정형,never,0,0.0005,0.05,34.15853640508229,-36.430824922972796,37.99271719264783,-35.94912499716152,35.69374399434011,-36.430824922972796,20.065784406393867
안정형,never,0,0.0005,0.15,34.15853640508229,-36.430824922972796,37.99271719264783,-35.94912499716152,35.69374399434011,-36.430824922972796,20.065784406393867
안정형,never,2,0.0005,0.1,34.81728717348964,-36.872575449447346,39.61774956756277,-37.42440128042662,36.65808263479447,-37.45087290323696,20.03858488741473
안정형,never,2,0.0005,0.05,34.81728717348964,-36.872575449447346,39.61774956756277,-37.42440128042662,36.65808263479447,-37.45087290323696,20.03858488741473
안정형,never,2,0.0005,0.15,34.81728717348964,-36.872575449447346,39.61774956756277,-37.42440128042662,36.65808263479447,-37.45087290323696,20.03858488741473
안정형,never,3,0.0005,0.05,34.91781397317468,-36.99790317514323,40.02798074004321,-37.8869105821765,36.82082096159893,-37.94590375073686,19.868836901008923
안정형,never,3,0.0005,0.1,34.91781397317468,-36.99790317514323,40.02798074004321,-37.8869105821765,36.82082096159893,-37.94590375073686,19.868836901008923
안정형,never,3,0.0005,0.15,34.91781397317468,-36.99790317514323,40.02798074004321,-37.8869105821765,36.82082096159893,-37.94590375073686,19.868836901008923
균형형 ⭐ 추천,never,0,0.001,0.05,35.33457398805864,-40.40341253469046,40.047367434328265,-39.847125280634124,37.16202188324096,-40.40341253469046,19.543901894722605
균형형 ⭐ 추천,never,0,0.001,0.1,35.33457398805864,-40.40341253469046,40.047367434328265,-39.847125280634124,37.16202188324096,-40.40341253469046,19.543901894722605
균형형 ⭐ 추천,never,0,0.001,0.15,35.33457398805864,-40.40341253469046,40.047367434328265,-39.847125280634124,37.16202188324096,-40.40341253469046,19.543901894722605
균형형 ⭐ 추천,never,2,0.001,0.1,35.956762553424085,-40.97648950731849,41.65246501857705,-41.382107066878056,38.0861598557934,-41.51139932362759,19.47952921721323
균형형 ⭐ 추천,never,2,0.001,0.05,35.956762553424085,-40.97648950731849,41.65246501857705,-41.382107066878056,38.0861598557934,-41.51139932362759,19.47952921721323
균형형 ⭐ 추천,never,2,0.001,0.15,35.956762553424085,-40.97648950731849,41.65246501857705,-41.382107066878056,38.0861598557934,-41.51139932362759,19.47952921721323
균형형 ⭐ 추천,never,3,0.001,0.1,36.052122153487474,-40.9846918518339,41.90912543373386,-41.89722680424143,38.24523335117156,-42.05255393495556,19.33814162391674
균형형 ⭐ 추천,never,3,0.001,0.05,36.052122153487474,-40.9846918518339,41.90912543373386,-41.89722680424143,38.24523335117156,-42.05255393495556,19.33814162391674
균형형 ⭐ 추천,never,3,0.001,0.15,36.052122153487474,-40.9846918518339,41.90912543373386,-41.89722680424143,38.24523335117156,-42.05255393495556,19.33814162391674
안정성장형,never,0,0.001,0.1,33.76018723738572,-38.53420695867741,37.99527853449363,-37.9266388250785,35.45785303102211,-38.53420695867741,18.790932847860866
안정성장형,never,0,0.001,0.15,33.76018723738572,-38.53420695867741,37.99527853449363,-37.9266388250785,35.45785303102211,-38.53420695867741,18.790932847860866
안정성장형,never,0,0.001,0.05,33.76018723738572,-38.53420695867741,37.99527853449363,-37.9266388250785,35.45785303102211,-38.53420695867741,18.790932847860866
안정성장형,never,2,0.001,0.1,34.381497339364685,-39.430403125608535,39.628663217887606,-39.50708054835667,36.39098686757809,-39.51790665282538,18.71751108995683
안정성장형,never,2,0.001,0.15,34.381497339364685,-39.430403125608535,39.628663217887606,-39.50708054835667,36.39098686757809,-39.51790665282538,18.71751108995683
안정성장형,never,2,0.001,0.05,34.381497339364685,-39.430403125608535,39.628663217887606,-39.50708054835667,36.39098686757809,-39.51790665282538,18.71751108995683
안정성장형,never,3,0.001,0.15,34.46113425631416,-39.557277554736295,39.90908893617795,-39.86678883641962,36.53945926515072,-40.03203051141431,18.60097402561497
안정성장형,never,3,0.001,0.1,34.46113425631416,-39.557277554736295,39.90908893617795,-39.86678883641962,36.53945926515072,-40.03203051141431,18.60097402561497
안정성장형,never,3,0.001,0.05,34.46113425631416,-39.557277554736295,39.90908893617795,-39.86678883641962,36.53945926515072,-40.03203051141431,18.60097402561497
균형형 ⭐ 추천,all_loss,2,0.0005,0.1,36.62550694811213,-44.753957203866335,44.07481717255091,-41.31783615732191,39.37705655079699,-44.753957203866335,18.354363348205347
균형형 ⭐ 추천,any_loss,2,0.0005,0.05,36.62550694811213,-44.753957203866335,44.07481717255091,-41.31783615732191,39.37705655079699,-44.753957203866335,18.354363348205347
